Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0,,,,,0,0.03515625,-1.046875,,,15.998719199857835,-0.18195076790763645,0,0,2.91097924395278,,0,,,0.05859375,,
0,,,,,0,0.0390625,-1.05078125,,,15.99871660126635,-0.18196797497834552,0,0,2.9112540621848764,,0,,,0.05859375,,
0.00698499999998603,,,,,0,0.037109375,-1.048828125,,,15.998687394302179,-0.17985794859951723,0,0,2.8774910950241455,,0,,,0.05859375,,
0.014065000000002329,,,,,0,0.0390625,-1.0546875,,,15.998747174436591,-0.17907927419499534,0,0,2.8650440320273374,,0,,,0.05859375,,
0.02168000000002212,,,,,0,0.0390625,-1.05078125,,,15.998743524747809,-0.17962554847701867,0,0,2.873783080575976,,0,,,0.05859375,,
0.02772500000000582,,,,,0,0.0390625,-1.05078125,,,15.998715575366859,-0.18021534199892253,0,0,2.8832139989582273,,0,,,0.05859375,,
0.03397999999998137,,,,,0,0.03515625,-1.05078125,,,15.998765806245242,-0.1802965424513881,0,0,2.8845221583555114,,0,,,0.05859375,,
0.04123999999999069,,,,,0,0.03515625,-1.05078125,,,15.998646578024198,-0.18094391801166018,0,0,2.8948577947115384,,0,,,0.05859375,,
0.047919999999983705,,,,,0,0.037109375,-1.0546875,,-0.5479267879841523,15.998618922396636,-0.181837161861283,0,0,2.909143458548822,,0,,,0.05859375,,
0.054154999999998836,,,,,0,0.03515625,-1.05078125,,,15.998595582977204,-0.18185430533413913,0,0,2.909413486064146,,0,,,0.05859375,,
0.06070499999998719,,,,,0,0.037109375,-1.05078125,,,15.998652285190007,-0.1821348167089727,0,0,2.913911601553669,,0,,,0.05859375,,
0.06929000000000815,,,,,0,0.0390625,-1.05078125,,,15.998623366959812,-0.18214177221731567,0,0,2.914017613095418,,0,,,0.05859375,,
0.07651500000001397,,,,,0,0.03515625,-1.05078125,,,15.998558185539629,-0.18280734818780092,0,0,2.9246539967267355,,0,,,0.05859375,,
0.0847149999999965,,,,,0,0.037109375,-1.05078125,,,15.998425369355674,-0.18323114322446715,0,0,2.9314097702183584,,0,,,0.05859375,,
0.09119999999998253,,,,,0,0.03125,-1.05078125,,,15.998485047703642,-0.18319553734273195,0,0,2.9308510649837314,,0,,,0.05859375,,
0.09786000000001513,,,,,0,0.037109375,-1.05078125,,,15.998375983342743,-0.1831558636423732,0,0,2.930196370104542,,0,,,0.05859375,,
0.10400500000000466,,,,,0,0.03515625,-1.046875,,,15.998362091302154,-0.18360520701117625,0,0,2.9373825836132865,,0,,,0.05859375,,
0.11117999999999302,,,,,0,0.03515625,-1.05078125,,,15.998345997865329,-0.1835468419131624,0,0,2.9364458837422616,,0,,,0.05859375,,
0.11788500000000932,,,,,0,0.03515625,-1.05078125,0.00022539713470224346,,15.998582343183248,-0.18322208832102366,0,0,2.9312936670938905,0,0,0,0,0.05859375,,
0.12492499999998836,,,,,0,0.0390625,-1.05078125,,,15.99864184221736,-0.18236331249473264,0,0,2.9175653217635897,,0,,,0.05859375,,
0.13102999999999884,,,,,0,0.037109375,-1.05078125,,,15.99877198710454,-0.18261278637237618,0,0,2.921580331101478,,0,,,0.05859375,,
0.13838999999998486,,,,,0,0.03515625,-1.05078125,,,15.998996349286458,-0.1834363650264713,0,0,2.934797734384892,,0,,,0.05859375,,
0.14486000000001514,,,,,0,0.0390625,-1.05078125,,,15.999038714007161,-0.18393802124758427,0,0,2.9428315229179725,,0,,,0.05859375,,
0.15110999999998603,,,,,0,0.037109375,-1.05078125,,,15.999075756377552,-0.18437632806788593,0,0,2.9498508404408277,,0,,,0.05859375,,
0.15889500000001863,,,,,0,0.0390625,-1.05078125,,,15.999056586483535,-0.18325884820698343,0,0,2.931968682437325,,0,,,0.05859375,,
0.16598499999998603,,,,,0,0.0390625,-1.05078125,,,15.99901034259185,-0.1826465476016079,0,0,2.9221640041168193,,0,,,0.05859375,,
0.17355499999999302,,,,,0,0.0390625,-1.05078125,,,15.998875107628814,-0.18165592230484112,0,0,2.9062904135162766,,0,,,0.05859375,,
0.18116500000000815,,,,,0,0.037109375,-1.05078125,,,15.998928695885498,-0.1819963556242068,0,0,2.9117467165427042,,0,,,0.05859375,,
0.18874000000001978,,,,,0,0.0390625,-1.05078125,,,15.998856094735649,-0.1818122568203842,0,0,2.908788133128447,,0,,,0.05859375,,
0.196070000000007,,,,,0,0.037109375,-1.048828125,,-0.6824066410373395,15.999285742324048,-0.18183478066702852,0,0,2.9092266137846097,,0,,,0.05859375,,
0.20297000000000118,,,,,0,0.03515625,-1.05078125,,,15.99923232739959,-0.1818537639016908,0,0,2.909520618275224,,0,,,0.05859375,,
0.21156500000000233,,,,,0,0.0390625,-1.05078125,,,15.999334922897853,-0.18081538656659926,0,0,2.892925928892267,,0,,,0.05859375,,
0.21822999999998138,,,,,0,0.037109375,-1.052734375,,,15.999363516070783,-0.1791994699459599,0,0,2.8670774615526136,,0,,,0.05859375,,
0.22734500000000116,,,,,0,0.03515625,-1.05078125,,,15.999305475368525,-0.17988542583595502,0,0,2.8780418785161936,,0,,,0.05859375,,
0.23448499999998604,,,,,0,0.037109375,-1.052734375,,,15.999110653279903,-0.17925957444647977,0,0,2.8679937672290965,,0,,,0.05859375,,
