Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-07 18:45:59:351,0.00314077,16.5905,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:367,-0.007308,16.589,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:368,0.00481124,16.5869,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:45:59:384,-0.00380055,16.5852,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:401,-0.00896246,16.5823,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:401,-0.00436194,16.5804,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:418,-0.00393498,16.5803,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:418,-0.00541568,16.5798,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:435,-0.00271049,16.5794,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:45:59:451,0.00404,16.58,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:451,-0.00423346,16.58,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:468,-0.00112175,16.58,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:468,0.00564886,16.5818,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:484,0.00948856,16.5811,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:501,-0.000684383,16.5813,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:502,0.00592011,16.5806,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:517,0.00661699,16.5817,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:518,0.00529488,16.5821,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:534,0.00233431,16.5822,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:551,0.00266186,16.5826,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:551,0.00574824,16.5833,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:568,0.0217941,16.5836,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:569,0.00544916,16.5834,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:584,0.00185776,16.5833,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:585,0.00424425,16.5827,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:601,-0.00247584,16.5831,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:618,-0.0131173,16.585,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:618,0.00421251,16.5866,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:634,-0.000738368,16.5864,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
